,Date of 8-day Window,"Centroid of Selection (Lat,Lon)",Number of Pixels,Average AOD,5% Percentile AOD,50% Percentile (Median) AOD,95% Percentile AOD,Percent of Pixels with no Data
0,2011-01-01,"26.63, 86.73",100,0.42447504,0.12145669423043728,0.2539370059967041,1.0,40.0
0,2011-01-09,"26.63, 86.73",100,0.49744987,0.12598425149917603,0.37204723060131073,1.0,12.0
0,2011-01-17,"26.63, 86.73",100,0.97125983,0.8188976317644119,1.0,1.0,30.0
0,2011-01-25,"26.63, 86.73",100,0.7118272,0.19763779044151308,0.8149606585502625,1.0,3.0
0,2011-02-02,"26.63, 86.73",100,0.5983465,0.18405511900782587,0.6732283234596252,1.0,0.0
0,2011-02-10,"26.63, 86.73",100,0.8007788,0.41181103587150575,0.8897637724876404,1.0,7.0
0,2011-02-18,"26.63, 86.73",100,0.35333648,0.10236220806837082,0.3779527544975281,0.6070866227149962,1.0
0,2011-02-18,"26.63, 86.73",100,0.35333648,0.10236220806837082,0.3779527544975281,0.6070866227149962,1.0
0,2011-02-26,"26.63, 86.73",100,0.31456295,0.10472441092133522,0.31102362275123596,0.5161417245864868,1.0
0,2011-03-06,"26.63, 86.73",100,0.36292055,0.10590551346540451,0.3976377844810486,0.6224409461021423,1.0
0,2011-03-14,"26.63, 86.73",100,0.48524615,0.2039370134472847,0.5078740119934082,0.780708646774292,1.0
0,2011-03-22,"26.63, 86.73",100,0.43905517,0.18405511900782587,0.47834646701812744,0.649999988079071,0.0
0,2011-03-30,"26.63, 86.73",100,0.42222315,0.12460629940032959,0.5098425149917603,0.6694881677627563,6.0
0,2011-04-07,"26.63, 86.73",100,0.46251968,0.28346458077430725,0.48622047901153564,0.6104330778121948,0.0
0,2011-04-15,"26.63, 86.73",100,0.46322834,0.0785433068871498,0.5728346705436707,0.8391732454299926,0.0
0,2011-04-15,"26.63, 86.73",100,0.46322834,0.0785433068871498,0.5728346705436707,0.8391732454299926,0.0
0,2011-04-23,"26.63, 86.73",100,0.5894377,0.33425195813179015,0.6102362275123596,0.8468504071235656,1.0
0,2011-05-01,"26.63, 86.73",100,0.6369415,0.08267716318368912,0.7204724550247192,0.8885826706886291,17.0
0,2011-05-09,"26.63, 86.73",100,0.7963284,0.5954724550247192,0.7913385629653931,0.9793307185173035,14.0
0,2011-05-17,"26.63, 86.73",100,0.7346211,0.6102362275123596,0.7342519760131836,0.923228323459625,36.0
0,2011-05-25,"26.63, 86.73",100,0.71541053,0.4881889820098877,0.712598443031311,0.9795275688171384,51.0
0,2011-06-02,"26.63, 86.73",100,0.6364996,0.2944881975650787,0.6929134130477905,0.8157480597496032,21.0
0,2011-06-10,"26.63, 86.73",100,0.71399826,0.477952766418457,0.7244094610214233,0.8685039401054382,55.0
